method,iteration,learning_rate,batch_size,num_blocks,filters_1,filters_2,filters_3,kernel_size,dropout,dense_units,val_accuracy,val_loss,test_accuracy,test_loss,time_sec,num_params,optimizer,weight_decay,use_batch_norm,generation,individual_in_generation,pso_iteration,particle,aco_iteration,ant,hs_phase,memory_index,hs_iteration,dataset,seed
harmony_search,38,0.0014279213611219,32,3,32,64,64,3,0.1495126457961917,256,0.8296,0.4986501979351043,0.8278,0.5225153872013092,98.59912109375,405034,adam,1e-05,1.0,,,,,,,main,,33.0,CIFAR10,42
ga,50,0.0001848498828699,64,3,64,128,64,5,0.2341656944263476,128,0.8284,0.499331849193573,0.8221,0.5336211544036865,112.03045082092284,1162826,adam,1e-05,1.0,10.0,5.0,,,,,,,,CIFAR10,42
random_search,37,0.0005351098478647,32,3,32,128,128,3,0.3598771315069751,128,0.8168,0.5392928631305695,0.8064,0.5665758612632752,92.63219833374023,754602,adamw,8.469426171992905e-06,1.0,,,,,,,,,,CIFAR10,42
aco,28,0.001,32,3,32,128,128,5,0.4,256,0.814,0.5372642972946167,0.8137,0.5678918950080871,117.3587532043457,1888042,adam,0.0001,1.0,,,,,6.0,3.0,,,,CIFAR10,42
pso,20,0.01,128,2,64,64,128,3,0.3353955184239945,256,0.7984,0.5966267242431641,0.7834,0.6206595205307007,46.256221532821655,1164490,sgd,0.001,1.0,,,4.0,5.0,,,,,,CIFAR10,42
manual_search,4,0.0002,128,3,64,128,256,3,0.4,256,0.798,0.5707193600654602,0.7947,0.5933864313125611,73.15401816368103,2198602,,,,,,,,,,,,,CIFAR10,42
