method,best_val_accuracy,test_accuracy_at_best,iteration_of_best,time_of_best_sec,total_time_sec
harmony_search,0.8296,0.8278,38,1986.7078456878662,2727.9115331172943
ga,0.8284,0.8221,50,3979.7567982673645,3979.7567982673645
random_search,0.8168,0.8064,37,2198.598357439041,2917.2694890499115
aco,0.814,0.8137,28,1303.5987811088562,2369.052137851715
pso,0.7984,0.7834,20,936.695383310318,2212.886194705963
manual_search,0.798,0.7947,4,220.60260891914368,289.5068562030792
