method,iteration,learning_rate,batch_size,num_blocks,filters_1,filters_2,filters_3,kernel_size,dropout,dense_units,val_accuracy,val_loss,test_accuracy,test_loss,time_sec,num_params,optimizer,weight_decay,use_batch_norm,generation,individual_in_generation,pso_iteration,particle,aco_iteration,ant,hs_phase,memory_index,hs_iteration,dataset,seed
ga,50,0.0001848498828699,64,3,64,128,64,5,0.2681140457273503,256,0.5022,1.8229941596984864,0.5051,1.7861668758392335,117.83544516563416,1318436,adam,1e-05,1.0,10.0,5.0,,,,,,,,CIFAR100,42
random_search,28,0.0030537492123328,64,2,32,128,64,5,0.1017986561637264,256,0.499,1.919920502471924,0.5075,1.9056134605407715,73.54013299942017,2664068,sgd,3.28266960765393e-05,1.0,,,,,,,,,,CIFAR100,42
aco,47,0.0001,32,2,64,64,64,5,0.0,256,0.488,1.977838490486145,0.4876,1.9740038276672365,88.89582586288452,1387300,adam,1e-05,1.0,,,,,10.0,2.0,,,,CIFAR100,42
pso,30,0.0001,32,2,64,64,64,3,0.0,256,0.4816,2.015028105545044,0.4718,2.037077003479004,87.88598918914795,1187620,adamw,0.001,1.0,,,6.0,5.0,,,,,,CIFAR100,42
harmony_search,47,0.0001561107296769,32,3,32,32,128,5,0.121931719595478,128,0.4656,1.9558891944885253,0.4761,1.9594561416625975,120.01759004592896,867524,adam,0.0001,1.0,,,,,,,main,,42.0,CIFAR100,42
manual_search,2,0.0005,128,2,32,64,128,3,0.3,256,0.4288,2.1623623527526856,0.4328,2.149028809738159,36.119776010513306,1140484,,,,,,,,,,,,,CIFAR100,42
