epoch,train_loss,train_acc,val_loss,val_acc,dataset,method
1,0.3952038157935496,0.8543703703703703,0.26213339030742644,0.903,FashionMNIST,ga
2,0.2656229436993599,0.9019444444444444,0.2438345891535282,0.9093333333333333,FashionMNIST,ga
3,0.2303724111340664,0.9155740740740741,0.21256910010178884,0.9211666666666667,FashionMNIST,ga
4,0.20630473501152463,0.9239444444444445,0.2093980901390314,0.9216666666666666,FashionMNIST,ga
5,0.18915859435084792,0.9304074074074075,0.18999938958883286,0.9306666666666666,FashionMNIST,ga
6,0.17422209019517457,0.9358148148148148,0.18540710370739302,0.931,FashionMNIST,ga
7,0.16250491706613038,0.939962962962963,0.18553335105379423,0.9323333333333333,FashionMNIST,ga
8,0.15336405433107306,0.9424444444444444,0.18872978004813196,0.9336666666666666,FashionMNIST,ga
9,0.14137338860388154,0.9470925925925926,0.17870800681039692,0.9373333333333334,FashionMNIST,ga
10,0.1340219264701009,0.9497037037037037,0.18564991555859645,0.9378333333333333,FashionMNIST,ga
11,0.1240903733400283,0.9532592592592593,0.19070340893417598,0.9345,FashionMNIST,ga
12,0.11462458890276375,0.9562222222222222,0.19382445939599227,0.9335,FashionMNIST,ga
13,0.11334329782040031,0.9577962962962963,0.1976563187551995,0.9335,FashionMNIST,ga
14,0.10628448665535284,0.9602407407407407,0.18694042624160648,0.9366666666666666,FashionMNIST,ga
15,0.1007357716354783,0.9632222222222222,0.18625999214872718,0.9398333333333333,FashionMNIST,ga
16,0.09954905386041436,0.9620555555555556,0.19551272431916247,0.9345,FashionMNIST,ga
17,0.09090925634897279,0.9661296296296297,0.21078619833290577,0.9328333333333333,FashionMNIST,ga
18,0.08828087530340309,0.9672222222222222,0.20273655591656764,0.9366666666666666,FashionMNIST,ga
19,0.08473001156167852,0.9675555555555555,0.22287282968312502,0.9365,FashionMNIST,ga
20,0.08219414810124026,0.9699814814814814,0.20586371649677554,0.937,FashionMNIST,ga
1,0.4989580453766717,0.8181851851851852,0.3175073134303093,0.883,FashionMNIST,random_search
2,0.3262124592838464,0.8827962962962963,0.2616611956258615,0.9046666666666666,FashionMNIST,random_search
3,0.2890293013188574,0.8956111111111111,0.22746856274207433,0.9156666666666666,FashionMNIST,random_search
4,0.2612925158959848,0.9044629629629629,0.22170570622881253,0.916,FashionMNIST,random_search
5,0.24372375267412927,0.9123888888888889,0.19801426701247693,0.926,FashionMNIST,random_search
6,0.23229959192485722,0.9160185185185186,0.19126015775402386,0.9305,FashionMNIST,random_search
7,0.2200543665930077,0.9190555555555555,0.205373898314933,0.9273333333333333,FashionMNIST,random_search
8,0.20918349753706544,0.9246851851851852,0.1836145697683096,0.9326666666666666,FashionMNIST,random_search
9,0.1987622350200459,0.9274259259259259,0.17541355377684037,0.9363333333333334,FashionMNIST,random_search
10,0.19336378073223212,0.9300185185185185,0.17027055249611536,0.9388333333333333,FashionMNIST,random_search
11,0.1861664947003678,0.9314074074074075,0.18062645833939314,0.9366666666666666,FashionMNIST,random_search
12,0.18055817171434563,0.9341296296296296,0.16502757055995365,0.9416666666666667,FashionMNIST,random_search
13,0.17477752900565113,0.935,0.174107608863463,0.9366666666666666,FashionMNIST,random_search
14,0.16899318985641001,0.9374629629629629,0.17394560119758048,0.9378333333333333,FashionMNIST,random_search
15,0.16055041837857828,0.9413148148148148,0.16719505040968458,0.942,FashionMNIST,random_search
16,0.1556391355215951,0.9428148148148148,0.16585860258465013,0.9403333333333334,FashionMNIST,random_search
17,0.15250776934375365,0.9436851851851852,0.154450244758899,0.9446666666666667,FashionMNIST,random_search
18,0.14511304146630896,0.9469444444444445,0.16400854692732295,0.9411666666666667,FashionMNIST,random_search
19,0.14484553094180647,0.9473518518518519,0.16326347629353405,0.944,FashionMNIST,random_search
20,0.1410133940640975,0.948,0.16614456026007732,0.942,FashionMNIST,random_search
1,0.42388015389442446,0.843037037037037,0.2894698696732521,0.8928333333333334,FashionMNIST,aco
2,0.28841346848342153,0.8947407407407407,0.24853613380591075,0.9036666666666666,FashionMNIST,aco
3,0.2478063172046785,0.9103148148148148,0.2200183110932509,0.9165,FashionMNIST,aco
4,0.21950674628493963,0.9190925925925926,0.2019240525563558,0.925,FashionMNIST,aco
5,0.20482418505681885,0.9251111111111111,0.1981248632868131,0.9276666666666666,FashionMNIST,aco
6,0.18770554564327555,0.9309444444444445,0.1825916968608896,0.9348333333333333,FashionMNIST,aco
7,0.17544295616530708,0.9355555555555556,0.18110758090515933,0.9341666666666667,FashionMNIST,aco
8,0.16536670753718527,0.9394814814814815,0.1913248973588149,0.932,FashionMNIST,aco
9,0.1544133929789618,0.9421666666666667,0.17422292198613287,0.9383333333333334,FashionMNIST,aco
10,0.1433880132469866,0.9471296296296297,0.18247329862167438,0.9368333333333333,FashionMNIST,aco
11,0.13825945703657688,0.9477407407407408,0.1889197253957391,0.9323333333333333,FashionMNIST,aco
12,0.12863702519196604,0.9510555555555555,0.18656423268218836,0.939,FashionMNIST,aco
13,0.12346617639965067,0.9542037037037037,0.17623066636919976,0.9368333333333333,FashionMNIST,aco
14,0.11792854001414445,0.9556851851851852,0.17843417509396872,0.9408333333333333,FashionMNIST,aco
15,0.11348857901121179,0.9569814814814814,0.177445646956563,0.9386666666666666,FashionMNIST,aco
16,0.10770380551029962,0.9598888888888889,0.18070938150708873,0.9393333333333334,FashionMNIST,aco
17,0.10432788193667376,0.9611481481481482,0.1766292294807111,0.9425,FashionMNIST,aco
18,0.09886330877065107,0.9628703703703704,0.18881194090594847,0.939,FashionMNIST,aco
19,0.09490034972669349,0.9649074074074074,0.19664289409667254,0.9363333333333334,FashionMNIST,aco
20,0.09027856523764355,0.9664074074074074,0.20363849723820265,0.9396666666666667,FashionMNIST,aco
1,0.3641242560192391,0.8677407407407407,0.26357262285550437,0.907,FashionMNIST,harmony_search
2,0.2345038249713403,0.9141296296296296,0.2365975148677826,0.9163333333333333,FashionMNIST,harmony_search
3,0.19848639713393318,0.9274259259259259,0.21165823352336882,0.9238333333333333,FashionMNIST,harmony_search
4,0.175455969620634,0.9357592592592593,0.19776009905338288,0.9286666666666666,FashionMNIST,harmony_search
5,0.1544764466241554,0.9427777777777778,0.1797397272984187,0.935,FashionMNIST,harmony_search
6,0.13366235998162518,0.9500555555555555,0.1872119256456693,0.933,FashionMNIST,harmony_search
7,0.11963432745469942,0.9552037037037037,0.1856937438050906,0.9306666666666666,FashionMNIST,harmony_search
8,0.10235277139699017,0.9625555555555556,0.18241860604286195,0.9375,FashionMNIST,harmony_search
9,0.09226231487150545,0.9654259259259259,0.19466566610336303,0.9355,FashionMNIST,harmony_search
10,0.07900881286020632,0.9710925925925926,0.20289277333021163,0.9383333333333334,FashionMNIST,harmony_search
11,0.06885256330668926,0.9749629629629629,0.21499850473801296,0.933,FashionMNIST,harmony_search
12,0.05970530834076581,0.9775555555555555,0.2070979291498661,0.935,FashionMNIST,harmony_search
13,0.05020253303591852,0.9815,0.2196710976064205,0.936,FashionMNIST,harmony_search
14,0.04824376822842492,0.9825,0.2434401160478592,0.9338333333333333,FashionMNIST,harmony_search
15,0.04132451601492034,0.9849444444444444,0.24297604050238927,0.9355,FashionMNIST,harmony_search
16,0.034695930872457446,0.9869814814814815,0.2329722164273262,0.9388333333333333,FashionMNIST,harmony_search
17,0.03517624680565118,0.9873148148148149,0.2751145769953728,0.933,FashionMNIST,harmony_search
18,0.030564644143019837,0.9888703703703704,0.25794637444615365,0.9351666666666667,FashionMNIST,harmony_search
19,0.028206411503065652,0.9894259259259259,0.2820259792009989,0.9368333333333333,FashionMNIST,harmony_search
20,0.02682633083058452,0.9905925925925926,0.2990206995209058,0.9356666666666666,FashionMNIST,harmony_search
1,0.6318515034958169,0.7700925925925926,0.3428627862135569,0.8788333333333334,FashionMNIST,manual_search
2,0.36263309558232626,0.8666296296296296,0.30919701417287193,0.8873333333333333,FashionMNIST,manual_search
3,0.3062476047763118,0.8891111111111111,0.29010556038220725,0.8925,FashionMNIST,manual_search
4,0.277108069146121,0.8996111111111111,0.22948773634433747,0.9138333333333334,FashionMNIST,manual_search
5,0.2574706847579391,0.9065185185185185,0.23204385499159494,0.9175,FashionMNIST,manual_search
6,0.23932989158453766,0.912537037037037,0.20299523041645687,0.9256666666666666,FashionMNIST,manual_search
7,0.2284192977304812,0.9166481481481481,0.19674362003803253,0.9255,FashionMNIST,manual_search
8,0.22116184986962212,0.9202037037037037,0.19164029651880266,0.9298333333333333,FashionMNIST,manual_search
9,0.21098673526446024,0.9226851851851852,0.21495341221491496,0.9203333333333333,FashionMNIST,manual_search
10,0.20011741522947948,0.925962962962963,0.18494035518169402,0.9365,FashionMNIST,manual_search
11,0.19293981529165197,0.9296111111111112,0.1818417428533236,0.9328333333333333,FashionMNIST,manual_search
12,0.1879639526384848,0.9300925925925926,0.1820107649366061,0.9348333333333333,FashionMNIST,manual_search
13,0.18158441046432214,0.9336666666666666,0.1736121953924497,0.938,FashionMNIST,manual_search
14,0.17385158697101805,0.9362777777777778,0.16896040868759155,0.9385,FashionMNIST,manual_search
15,0.16847537851775135,0.9380740740740741,0.16482641234000525,0.9396666666666667,FashionMNIST,manual_search
16,0.165539051356139,0.9380740740740741,0.1660196313460668,0.9421666666666667,FashionMNIST,manual_search
17,0.15782821237157893,0.9412037037037037,0.16645884668827057,0.94,FashionMNIST,manual_search
18,0.15369169087763185,0.9437037037037037,0.16148951272169748,0.9436666666666667,FashionMNIST,manual_search
19,0.15118794050040069,0.9440555555555555,0.16350509212414424,0.9406666666666667,FashionMNIST,manual_search
20,0.14506604931531128,0.946925925925926,0.15346662346522014,0.9453333333333334,FashionMNIST,manual_search
1,1.1845868651072184,0.6707037037037037,0.48624239667256675,0.8216666666666667,FashionMNIST,pso
2,0.6342913658530623,0.7572222222222222,0.4281107071240743,0.8506666666666667,FashionMNIST,pso
3,0.5609857979703833,0.7884629629629629,0.3745865289370219,0.868,FashionMNIST,pso
4,0.48332216419997037,0.8217962962962962,0.32167517073949176,0.8826666666666667,FashionMNIST,pso
5,0.44297506065721864,0.8379629629629629,0.3098342601855596,0.8923333333333333,FashionMNIST,pso
6,0.41733388239366037,0.8503518518518518,0.295951057434082,0.8951666666666667,FashionMNIST,pso
7,0.4000017426720372,0.8541666666666666,0.2863868383963903,0.9005,FashionMNIST,pso
8,0.37908810944910404,0.8618888888888889,0.26799533327420555,0.9028333333333334,FashionMNIST,pso
9,0.3599344841550898,0.8682222222222222,0.28414441863695783,0.893,FashionMNIST,pso
10,0.3477771347628699,0.8710185185185185,0.2581458154519399,0.9016666666666666,FashionMNIST,pso
11,0.3394040271882658,0.8746111111111111,0.2540960661172867,0.9078333333333334,FashionMNIST,pso
12,0.3305511814223395,0.8794814814814815,0.24815986053148906,0.9088333333333334,FashionMNIST,pso
13,0.32157106162000587,0.8829259259259259,0.25440256679058076,0.907,FashionMNIST,pso
14,0.31879191690904124,0.8835555555555555,0.25150442103544873,0.9106666666666666,FashionMNIST,pso
15,0.31181216525148464,0.885537037037037,0.2440899117787679,0.9133333333333333,FashionMNIST,pso
16,0.3012385912736257,0.888962962962963,0.23362525165081025,0.915,FashionMNIST,pso
17,0.30002345171681155,0.8917962962962963,0.24802085884412128,0.9113333333333333,FashionMNIST,pso
18,0.2872788811524709,0.8942407407407408,0.23740202943483987,0.918,FashionMNIST,pso
19,0.29353061052604956,0.8916296296296297,0.22902165480454761,0.911,FashionMNIST,pso
