method,best_val_accuracy,test_accuracy_at_best,iteration_of_best,time_of_best_sec,total_time_sec
ga,0.939,0.9327,43,2526.8066477775574,3080.9620912075043
random_search,0.9388333333333332,0.9278,37,2318.492208480835,3061.67129611969
aco,0.9383333333333334,0.9333,45,1994.9776175022125,2283.2311820983887
harmony_search,0.9383333333333334,0.9318,50,2610.1094813346863,2610.1094813346863
manual_search,0.9365,0.9251,4,218.67406964302063,283.64937257766724
pso,0.9198333333333332,0.9148,50,1504.5248093605042,1504.5248093605042
