method,iteration,learning_rate,batch_size,num_blocks,filters_1,filters_2,filters_3,kernel_size,dropout,dense_units,val_accuracy,val_loss,test_accuracy,test_loss,time_sec,num_params,optimizer,weight_decay,use_batch_norm,generation,individual_in_generation,pso_iteration,particle,aco_iteration,ant,hs_phase,memory_index,hs_iteration,dataset,seed
ga,43,0.0015169980582701,32,2,64,32,64,3,0.1665343112465659,256,0.939,0.1735455125259856,0.9327,0.1889867564350366,96.8816578388214,469898,adam,1e-05,1.0,9.0,3.0,,,,,,,,FashionMNIST,42
random_search,37,0.0005351098478647,32,3,32,128,128,3,0.3598771315069751,128,0.9388333333333332,0.1702705524961153,0.9278,0.2007264322221279,103.22115302085876,639338,adamw,8.469426171992905e-06,1.0,,,,,,,,,,FashionMNIST,42
aco,45,0.001,32,2,32,64,128,3,0.25,256,0.9383333333333334,0.1742229219861328,0.9333,0.1955152510523796,85.96454644203186,871018,adamw,1e-06,1.0,,,,,9.0,5.0,,,,FashionMNIST,42
harmony_search,50,0.0008299405300744,64,2,64,32,64,3,0.0303063370385068,256,0.9383333333333334,0.1797397272984187,0.9318,0.2278914204597473,56.87055444717407,469898,adamw,1e-05,1.0,,,,,,,main,,45.0,FashionMNIST,42
manual_search,4,0.0002,128,3,64,128,256,3,0.4,256,0.9365,0.184940355181694,0.9251,0.2106095375299453,65.8935182094574,1738698,,,,,,,,,,,,,FashionMNIST,42
pso,50,0.0097812921614197,256,1,32,32,128,3,0.4924749789585185,256,0.9198333333333332,0.216157498717308,0.9148,0.2317923069000244,26.9024875164032,1618154,sgd,1e-05,1.0,,,10.0,5.0,,,,,,FashionMNIST,42
