method,best_val_accuracy,test_accuracy_at_best,iteration_of_best,time_of_best_sec,total_time_sec
ga,0.5022,0.5051,50,4320.230853796005,4320.230853796005
random_search,0.499,0.5075,28,1683.8818929195404,2932.448144197464
aco,0.488,0.4876,47,2525.4994320869446,2688.8176658153534
pso,0.4816,0.4718,30,2094.590686559677,3889.935693025589
harmony_search,0.4656,0.4761,47,2543.787614583969,2748.006732940674
manual_search,0.4288,0.4328,2,84.41257691383362,285.6795644760132
