,val_accuracy,val_accuracy,val_accuracy,test_accuracy,test_accuracy,test_accuracy,time_sec,time_sec,time_sec,num_params,num_params,num_params
,max,mean,std,max,mean,std,max,mean,std,max,mean,std
method,,,,,,,,,,,,
aco,0.814,0.647,0.1821,0.8137,0.6432,0.1814,117.3588,47.381,19.0601,4304458,852158.48,756608.887
ga,0.8284,0.7554,0.0874,0.8265,0.7539,0.0853,118.4952,79.5951,16.3751,2886474,922737.36,605432.5348
harmony_search,0.8296,0.6658,0.1792,0.8278,0.6646,0.1788,107.6059,54.5582,23.3556,4235850,736616.4,685206.8549
manual_search,0.798,0.7608,0.0446,0.7947,0.7583,0.0429,73.154,57.9014,14.711,2198602,1107453.2,664591.3695
pso,0.7984,0.5903,0.2515,0.7871,0.5889,0.2526,56.8545,44.2577,8.1698,4236106,970847.76,792012.111
random_search,0.8168,0.596,0.1977,0.8079,0.5958,0.1973,127.5457,58.3454,23.3394,4304714,1253433.04,985058.3766
