method,iteration,learning_rate,batch_size,num_blocks,filters_1,filters_2,filters_3,kernel_size,dropout,dense_units,val_accuracy,val_loss,test_accuracy,test_loss,time_sec,num_params,optimizer,weight_decay,use_batch_norm,generation,individual_in_generation,pso_iteration,particle,aco_iteration,ant,hs_phase,memory_index,hs_iteration,dataset,seed
ga,18,0.0001561107296769,64,3,64,64,64,5,0.2681140457273503,128,0.8178,0.5233935807466507,0.8095,0.5524569885253906,83.1905586719513,650442,adam,1e-05,1.0,4.0,3.0,,,,,,,,CIFAR10,42
random_search,7,0.0008404665310526,128,3,64,128,64,5,0.4214259600949048,64,0.8166,0.5480625495433807,0.8079,0.5754907716751099,97.64146947860718,1096586,adam,0.000292016762672,1.0,,,,,,,,,,CIFAR10,42
pso,20,0.01,128,2,64,64,128,3,0.3353955184239945,256,0.7984,0.5966267242431641,0.7834,0.6206595205307007,45.63795781135559,1164490,sgd,0.001,1.0,,,4.0,5.0,,,,,,CIFAR10,42
manual_search,4,0.0002,128,3,64,128,256,3,0.4,256,0.798,0.5707193600654602,0.7947,0.5933864313125611,71.85662078857422,2198602,,,,,,,,,,,,,CIFAR10,42
aco,20,0.001,64,3,16,32,64,5,0.1,64,0.7922,0.592032454586029,0.7899,0.6256753284454346,57.83519721031189,266522,adam,1e-05,1.0,,,,,4.0,5.0,,,,CIFAR10,42
harmony_search,4,0.0001561107296769,128,3,32,32,256,5,0.2681140457273503,128,0.774,0.6453042080402375,0.7775,0.6433492170333862,65.45271325111389,2450026,adam,1e-05,1.0,,,,,,,init,4.0,,CIFAR10,42
