,val_accuracy,val_accuracy,val_accuracy,test_accuracy,test_accuracy,test_accuracy,time_sec,time_sec,time_sec,num_params,num_params,num_params
,max,mean,std,max,mean,std,max,mean,std,max,mean,std
method,,,,,,,,,,,,
aco,0.3476,0.223,0.0916,0.3443,0.2231,0.0909,61.2015,27.1949,13.4799,4258980,1814047.2,1519831.1441
ga,0.3474,0.2567,0.08,0.35,0.2575,0.0809,55.4107,32.7197,12.9076,4327588,2407412.8,1609355.8173
harmony_search,0.308,0.209,0.0839,0.3191,0.2105,0.0854,49.2807,27.2867,8.7963,4258980,953820.8,955304.0497
manual_search,0.284,0.263,0.0268,0.2845,0.2671,0.0235,30.9731,25.2313,6.3806,2219940,1122954.4,668902.1811
pso,0.2636,0.1504,0.0804,0.2658,0.1512,0.082,22.092,13.9243,2.6425,2148900,480426.4,441040.8607
random_search,0.3122,0.165,0.1122,0.3171,0.1672,0.1138,56.124,27.1358,10.9323,4258980,1449514.4,1011881.7124
