,val_accuracy,val_accuracy,val_accuracy,test_accuracy,test_accuracy,test_accuracy,time_sec,time_sec,time_sec,num_params,num_params,num_params
,max,mean,std,max,mean,std,max,mean,std,max,mean,std
method,,,,,,,,,,,,
aco,0.9262,0.8588,0.1801,0.9212,0.8531,0.1795,73.0648,37.558,13.2819,2327242,546781.2,543874.8922
ga,0.9322,0.9233,0.0118,0.9276,0.9184,0.0119,152.4041,56.3422,27.7274,3251914,1047249.2,966845.8359
harmony_search,0.9342,0.8667,0.1818,0.928,0.8624,0.1809,90.3059,48.9944,22.5928,3251658,736298.8,796871.8284
manual_search,0.9365,0.9316,0.0033,0.9275,0.9246,0.0023,94.0997,72.3064,23.2452,1738698,868989.2,525782.5318
pso,0.9197,0.8507,0.1896,0.9152,0.8464,0.1887,51.8455,30.1865,7.6861,1635050,731526.0,438387.6014
random_search,0.9328,0.9072,0.0289,0.9303,0.9019,0.0289,146.4258,68.278,29.6921,3251658,1192659.6,859899.8155
