,val_accuracy,val_accuracy,val_accuracy,test_accuracy,test_accuracy,test_accuracy,time_sec,time_sec,time_sec,num_params,num_params,num_params
,max,mean,std,max,mean,std,max,mean,std,max,mean,std
method,,,,,,,,,,,,
aco,0.7224,0.5794,0.1324,0.7181,0.5795,0.1321,61.2011,26.0924,12.6062,4235850,1877814.0,1501585.4593
ga,0.742,0.6652,0.0815,0.7406,0.6639,0.0819,55.3384,34.5809,10.4989,4304458,1395740.4,1030057.3803
harmony_search,0.6592,0.5787,0.1204,0.658,0.5774,0.1199,36.8097,23.3957,7.0824,4235850,1089049.2,1052378.4048
manual_search,0.6828,0.6557,0.0242,0.6859,0.6607,0.0226,31.1926,22.8998,6.0374,2196810,1106736.4,664117.87
pso,0.6372,0.4614,0.1936,0.6343,0.458,0.1941,23.2338,14.2418,2.862,2137290,407561.2,423058.9835
random_search,0.6836,0.5354,0.1608,0.6878,0.5346,0.1615,56.5912,27.3043,11.0444,4235850,1437328.4,1010515.014
