method,best_val_accuracy,test_accuracy_at_best,iteration_of_best,time_of_best_sec,total_time_sec
ga,0.8178,0.8095,18,1164.5897693634033,1315.222363948822
random_search,0.8166,0.8079,7,412.0484936237335,1177.095618724823
pso,0.7984,0.7834,20,919.2642402648926,919.2642402648926
manual_search,0.798,0.7947,4,208.31712651252747,274.55377984046936
aco,0.7922,0.7899,20,817.8084540367126,817.8084540367126
harmony_search,0.774,0.7775,4,231.50731492042542,834.7647109031677
