method,iteration,learning_rate,batch_size,num_blocks,filters_1,filters_2,filters_3,kernel_size,dropout,dense_units,val_accuracy,val_loss,test_accuracy,test_loss,time_sec,num_params,optimizer,weight_decay,use_batch_norm,generation,individual_in_generation,pso_iteration,particle,aco_iteration,ant,hs_phase,memory_index,hs_iteration,dataset,seed
manual_search,4,0.0002,128,3,64,128,256,3,0.4,256,0.9365,0.184940355181694,0.9251,0.2106095375299453,80.10870099067688,1738698,,,,,,,,,,,,,FashionMNIST,42
harmony_search,13,0.0014279213611219,32,3,64,32,128,3,0.0303063370385068,256,0.9341666666666668,0.1890380208839973,0.928,0.2312494591131806,90.30590677261353,548490,adamw,1e-05,1.0,,,,,,,main,,8.0,FashionMNIST,42
random_search,8,0.0006343509199762,32,1,64,128,128,3,0.32771933264744,128,0.9328333333333332,0.1907051249444484,0.9303,0.210336839005351,84.12263035774231,1644874,adamw,2.379882731492451e-05,1.0,,,,,,,,,,FashionMNIST,42
ga,13,0.0015169980582701,256,3,64,32,64,3,0.2806225314693065,256,0.9321666666666668,0.1844526011149088,0.9276,0.2005992364764213,34.966552734375,271626,adamw,0.0001,1.0,3.0,3.0,,,,,,,,FashionMNIST,42
aco,17,0.01,128,3,32,64,64,3,0.25,256,0.9261666666666668,0.2113114018837611,0.9183,0.2225869701445102,38.37094926834106,289770,adamw,1e-06,1.0,,,,,4.0,2.0,,,,FashionMNIST,42
pso,11,0.01,256,1,32,32,128,3,0.4703088901044784,256,0.9196666666666666,0.2166362529794375,0.9152,0.2314864614486694,25.913316011428837,1618154,sgd,0.0001,1.0,,,3.0,1.0,,,,,,FashionMNIST,42
