method,best_val_accuracy,test_accuracy_at_best,iteration_of_best,time_of_best_sec,total_time_sec
aco,0.3476,0.3443,3,58.72314667701721,543.8987810611725
ga,0.3474,0.35,17,548.9263715744019,654.393828868866
random_search,0.3122,0.3171,13,370.2499969005585,542.7158722877502
harmony_search,0.308,0.3191,17,470.78794598579407,545.7340202331543
manual_search,0.284,0.2838,1,29.94642972946167,126.15673661231995
pso,0.2636,0.2658,20,278.4861466884613,278.4861466884613
