method,best_val_accuracy,test_accuracy_at_best,iteration_of_best,time_of_best_sec,total_time_sec
manual_search,0.9365,0.9251,4,267.4323010444641,361.53205013275146
harmony_search,0.9341666666666668,0.928,13,692.2508697509766,979.8889939785004
random_search,0.9328333333333332,0.9303,8,591.3158876895905,1365.5608727931976
ga,0.9321666666666668,0.9276,13,785.9080004692078,1126.8449823856354
aco,0.9261666666666668,0.9183,17,643.5439829826355,751.1607487201691
pso,0.9196666666666666,0.9152,11,362.4458656311035,603.7296929359436
